Date,Open,High,Low,Close
06/24/2011,"1,271.50","1,298.61","1,262.87","1,268.45"
06/17/2011,"1,271.31","1,292.50","1,258.07","1,271.50"
06/10/2011,"1,300.26","1,300.26","1,268.28","1,270.98"
06/03/2011,"1,331.10","1,345.20","1,297.90","1,300.16"
05/27/2011,"1,333.07","1,334.62","1,311.80","1,331.10"
05/20/2011,"1,334.77","1,346.82","1,318.51","1,333.27"
05/13/2011,"1,340.20","1,359.44","1,332.03","1,337.77"
05/06/2011,"1,365.21","1,370.58","1,329.17","1,340.20"
04/29/2011,"1,337.14","1,364.56","1,331.47","1,363.61"
04/21/2011,"1,313.35","1,337.49","1,294.70","1,337.38"
04/15/2011,"1,329.01","1,333.77","1,302.42","1,319.68"
04/08/2011,"1,333.56","1,339.46","1,322.94","1,328.17"
04/01/2011,"1,315.45","1,337.85","1,305.26","1,332.41"
03/25/2011,"1,281.65","1,319.18","1,281.65","1,313.80"
03/18/2011,"1,301.19","1,301.19","1,249.05","1,279.20"
03/11/2011,"1,322.72","1,327.68","1,291.99","1,304.28"
03/04/2011,"1,321.61","1,332.28","1,302.58","1,321.15"
02/25/2011,"1,338.91","1,338.91","1,294.26","1,319.88"
02/18/2011,"1,328.73","1,344.07","1,324.61","1,343.01"
02/11/2011,"1,311.85","1,330.79","1,311.74","1,329.15"
02/04/2011,"1,276.50","1,311.00","1,276.50","1,310.87"
01/28/2011,"1,283.29","1,302.67","1,275.10","1,276.34"
01/21/2011,"1,293.22","1,296.06","1,271.26","1,283.35"
01/14/2011,"1,282.90","1,293.25","1,293.25","1,293.24"
